Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,Tactile 3x4x2mm TS-A010,1,RESET,
BOOT2,Tactile 3x4x2mm TS-A010,1,UBOOT,
BT1,BAT_BU2450SM-JJ-G,1,BU2450SM-JJ-G,
"C1, C2, C5",0603,3,10uF,
"C10, C11, C13, C14, C15, C16, C17, C8",0603,8,4.7uF/25V,
C12,0603,1,1uF/25V,
"C18, C6, C7",0603,3,0.1uF,
C3,0603,1,1uF,
C4,0603,1,100nF,
C9,0603,1,0.1uF,
"D1, D7",D_SMA,2,SS14,
"D2, D3, D4",SODFL3618X110N,3,SS2040FL,
IC1,SON50P200X200X65-9N-D,1,ADP124ACPZ-3.3-R7,
IC2,SOP50P490X110-10N,1,MAX1898EUB42+T,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,B2B-PH-SM4-TB(LF)(SN),
J3,AMPHENOL_F34G-1A7Q1-E8C24,1,F34G-1A7Q1-E8C24,
L1,L_Taiyo-Yuden_MD-4040,1,10uH,
LED1,0603,1,LED Red,
LED2,0603,1,LED Blue,
Q1,RTF025N03TL,1,RTF025N03TL,
"R1, R2",0603,2,5K1,
"R10, R11, R12, R13",0603,4,10K,
"R14, R15",0603,2,33R,
R16,0603,1,47K,
R17,0805,1,0.47R,
"R3, R5, R7, R8",0603,4,100K,
R4,0603,1,1K,
R6,0603,1,2.7K,
SW1,slide switch spdt,1,SLW-66527511-SMT-TR,
"U1, U2, U5",SOT-23,3,AO3401A,
U3,KS_3_ADI,1,ADM803SAKSZ,
U4,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U6,SON100P300X300X90-7N,1,HPP845E031R4,
